folder,bpb_sliding,ppl_sliding,params
wikitext-103_2026-04-02_11-53-11,1.5178,114.5989,"11,420,000"
wikitext-103_2026-04-02_22-51-10,1.1423,35.4649,"1,362,310,000"
wikitext-103_2026-04-03_04-51-07,1.1750,39.2765,"366,580,000"
wikitext-103_2026-04-03_07-37-34,1.2938,56.9226,"104,650,000"
wikitext-103_2026-04-03_10-22-17,1.4766,100.7781,"32,659,999"
wikitext-103_2026-04-03_14-34-51,1.1167,32.7365,"366,580,000"
wikitext-103_2026-04-03_22-59-40,1.1233,33.4132,"366,580,000"
wikitext-103_2026-04-04_13-38-15,1.1734,39.0759,"361,230,000"
wikitext-103_2026-04-04_16-31-53,1.1745,39.2098,"366,580,000"
wikitext-103_2026-04-04_19-12-31,1.1810,40.0202,"366,580,000"
wikitext-103_2026-04-04_21-55-38,1.2006,42.5465,"314,150,000"
wikitext-103_2026-04-05_00-26-06,1.1876,40.8524,"361,330,000"
wikitext-103_2026-04-05_03-05-29,1.1856,40.5959,"186,920,000"
wikitext-103_2026-04-05_05-33-33,1.1891,41.0442,"272,020,000"
wikitext-103_2026-04-05_07-23-27,1.1811,40.0340,"340,850,000"
wikitext-103_2026-04-05_16-08-09,1.1173,32.7994,"361,230,000"
wikitext-103_2026-04-05_23-45-27,1.1341,34.5644,"272,020,000"
wikitext-103_2026-04-06_04-59-03,1.1253,33.6307,"186,920,000"
wikitext-103_2026-04-06_15-09-30,1.1674,38.3511,"377,080,000"
wikitext-103_2026-04-06_17-51-28,1.1529,36.6506,"461,040,000"
wikitext-103_2026-04-06_20-38-06,1.1483,36.1352,"566,000,000"
wikitext-103_2026-04-06_23-32-36,1.1406,35.2683,"880,880,000"
wikitext-103_2026-04-07_03-43-32,1.1726,38.9777,"377,480,000"
wikitext-103_2026-04-07_06-37-05,1.1622,37.7333,"540,910,000"
wikitext-103_2026-04-07_09-40-03,1.1722,38.9359,"377,480,000"
wikitext-103_2026-04-07_12-58-11,1.1710,38.7834,"388,370,000"
wikitext-103_2026-04-07_16-36-23,1.1575,37.1831,"715,230,000"
wikitext-103_2026-04-07_20-21-24,1.2000,42.4683,"356,070,000"
wikitext-103_2026-04-07_23-11-07,1.1985,42.2616,"366,970,000"
wikitext-103_2026-04-08_02-19-39,1.1957,41.8936,"377,860,000"
wikitext-103_2026-04-08_09-51-47,1.1661,38.2031,"471,740,000"
wikitext-103_2026-04-08_13-46-39,1.1743,39.1943,"576,910,000"
wikitext-103_2026-04-08_18-26-31,3.5196,59567.3975,"787,240,000"
wikitext-103_2026-04-09_00-16-49,3.5210,59827.0081,"1,055,210,000"
wikitext-103_2026-04-09_03-57-03,1.1408,35.2952,"1,055,210,000"
wikitext-103_2026-04-09_08-29-18,1.1381,34.9989,"1,229,540,000"
wikitext-103_2026-04-09_13-22-27,1.1394,35.1427,"902,670,000"
wikitext-103_2026-04-09_18-06-43,1.1738,39.1276,"366,590,000"
