folder,old_bpb_sl,new_bpb_sl,old_ppl_sl,new_ppl_sl,old_bpb_nov,new_bpb_nov,old_ppl_nov,new_ppl_nov
logs/wikitext-103_2026-04-02_11-53-11,-,-,-,-,-,-,-,-
logs/wikitext-103_2026-04-02_22-51-10,-,-,-,-,-,-,-,-
logs/wikitext-103_2026-04-03_04-51-07,-,-,-,-,-,-,-,-
logs/wikitext-103_2026-04-03_07-37-34,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-03_10-22-17,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-03_14-34-51,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-03_22-59-40,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-04_13-38-15,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-04_16-31-53,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-04_19-12-31,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-04_21-55-38,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-05_00-26-06,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-05_03-05-29,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-05_05-33-33,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-05_07-23-27,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-05_16-08-09,-,-,-,-,-,-,-,-
logs/wikitext-103_2026-04-05_23-45-27,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-06_04-59-03,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-06_15-09-30,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-06_17-51-28,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-06_20-38-06,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-06_23-32-36,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-07_03-43-32,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-07_06-37-05,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-07_09-40-03,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-07_12-58-11,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-07_16-36-23,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-07_20-21-24,—,-,—,-,—,-,—,-
logs/wikitext-103_2026-04-07_23-11-07,—,-,—,-,—,-,—,-
